currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,B-E,AT	33186.00 	32403.00 	30679.00 	29153.00 	28999.00 	30269.00 	28523.00 	26869.00 	25922.00 	25132.00 	25052.00 	24629.00 	24710.00 	24269.00 
MIO_EUR,B-E,AT1	10532.00 	10288.00 	9863.00 	9551.00 	9709.00 	9958.00 	9479.00 	8926.00 	8738.00 	8523.00 	8611.00 	8612.00 	8620.00 	8776.00 
MIO_EUR,B-E,AT11	691.00 	658.00 	633.00 	603.00 	595.00 	605.00 	583.00 	540.00 	520.00 	517.00 	524.00 	503.00 	487.00 	471.00 
MIO_EUR,B-E,AT12	5460.00 	5319.00 	5057.00 	4859.00 	4836.00 	5064.00 	4811.00 	4483.00 	4343.00 	4275.00 	4251.00 	4175.00 	4101.00 	
