Uniformly Sampled Time Series,Time Line,Forecasted Time Series,SSA Eigenvalues
-4.370937028038616,Wed Jan 01 12:00:00 CET 1997,-4.370937028038616,41.49789422341988,
-6.60969909232347,Sat Feb 01 12:00:00 CET 1997,-6.60969909232347,34.82575564958684,
-7.998122705086494,Sat Mar 01 12:00:00 CET 1997,-7.998122705086494,12.23240967693125,
-11.391444253757816,Tue Apr 01 12:00:00 CEST 1997,-11.391444253757816,4.0120094526356755,
-10.067017644708335,Thu May 01 12:00:00 CEST 1997,-10.067017644708335,3.5173745026168826,
-1.7840819542947206,Sun Jun 01 12:00:00 CEST 1997,-1.7840819542947206,1.3898522011927241,
-1.809545734533757,Tue Jul 01 12:00:00 CEST 1997,-1.809545734533757,0.9798688245303663,
0.5708189576902111,Fri Aug 01 12:00:00 CEST 1997,0.5708189576902111,0.8782131255531825,
2.012778997779176,Mon Sep 01 12:00:00 CEST 1997,2.012778997779176,0.6666223435332055,
2.1804416522458796,Wed Oct 01 12:00:00 CEST 1997,2.1804416522458796,1.8506588232475968E-14,
1.2476848885441585,Sat Nov 01 12:00:00 CET 1997,1.2476848885441585,7.551340778968E-15,
-2.1990902990082843,Mon Dec 01 12:00:00 CET 1997,-2.1990902990082843,7.294326764759676E-15,
-2.069956750500193,Wed Dec 17 00:00:00 CET 1997,-2.069956750500193,3.9892929804302424E-15,
-1.940823201992102,Thu Jan 01 12:00:00 CET 1998,-1.940823201992102,1.5072357016282278E-15,
-5.657316496724988,Sun Feb 01 12:00:00 CET 1998,-5.657316496724988,1.242569351802301E-15,
-10.925484185042881,Sun Mar 01 12:00:00 CET 1998,-10.925484185042881,1.204983374786039E-15,
-13.271178749694567,Wed Apr 01 12:00:00 CEST 1998,-13.271178749694567,1.1038446252343922E-15,
-10.990900368318425,Fri May 01 12:00:00 CEST 1998,-10.990900368318425,1.0747928874974537E-15,
-1.2995870323202858,Mon Jun 01 12:00:00 CEST 1998,-1.2995870323202858,1.0211656660538507E-15,
-0.9849676491732566,Wed Jul 01 12:00:00 CEST 1998,-0.9849676491732566,9.951584986732883E-16,
0.5451119753251984,Sat Aug 01 12:00:00 CEST 1998,0.5451119753251984,9.374080146346696E-16,
1.7147590300221425,Tue Sep 01 12:00:00 CEST 1998,1.7147590300221425,9.150091479928109E-16,
1.3298585212456817,Thu Oct 01 12:00:00 CEST 1998,1.3298585212456817,8.797534259404792E-16,
-0.0949881643929553,Sun Nov 01 12:00:00 CET 1998,-0.0949881643929553,8.52084332055212E-16,
-3.00883102799858,Tue Dec 01 12:00:00 CET 1998,-3.00883102799858,8.351788163929068E-16,
-3.554615217095577,Thu Dec 17 00:00:00 CET 1998,-3.554615217095577,8.24856817324475E-16,
-4.100399406192574,Fri Jan 01 12:00:00 CET 1999,-4.100399406192574,7.993014160697348E-16,
-5.1052542003648975,Mon Feb 01 12:00:00 CET 1999,-5.1052542003648975,7.819254427887895E-16,
-9.972775212913502,Mon Mar 01 12:00:00 CET 1999,-9.972775212913502,7.77247053966461E-16,
-12.866665769155667,Thu Apr 01 12:00:00 CEST 1999,-12.866665769155667,7.680615271102321E-16,
-5.618386253736259,Sat May 01 12:00:00 CEST 1999,-5.618386253736259,7.371146183800971E-16,
1.194348354894248,Tue Jun 01 12:00:00 CEST 1999,1.194348354894248,7.213725711158096E-16,
2.1992662184802714,Thu Jul 01 12:00:00 CEST 1999,2.1992662184802714,7.01413775107362E-16,
2.613908637861232,Sun Aug 01 12:00:00 CEST 1999,2.613908637861232,6.76695138854165E-16,
2.9057788180933732,Wed Sep 01 12:00:00 CEST 1999,2.9057788180933732,6.668320934401695E-16,
3.9378763231541387,Fri Oct 01 12:00:00 CEST 1999,3.9378763231541387,6.633809086067136E-16,
2.562201902553416,Mon Nov 01 12:00:00 CET 1999,2.562201902553416,6.307808507813791E-16,
0.0860052848079178,Tue Nov 16 12:00:00 CET 1999,0.0860052848079178,6.219144585833307E-16,
-2.39019133293758,Wed Dec 01 12:00:00 CET 1999,-2.39019133293758,6.183267957138636E-16,
-4.320082739753451,Sat Jan 01 12:00:00 CET 2000,-4.320082739753451,5.958413203269017E-16,
-4.365611388028196,Tue Feb 01 12:00:00 CET 2000,-4.365611388028196,5.741061147315663E-16,
-7.000291531769277,Wed Mar 01 12:00:00 CET 2000,-7.000291531769277,5.633037236710625E-16,
-9.969618091535343,Sat Apr 01 12:00:00 CEST 2000,-9.969618091535343,5.626090607390945E-16,
-6.591610311988317,Mon May 01 12:00:00 CEST 2000,-6.591610311988317,5.403870979632314E-16,
