
1759800.00,-44.51,46.24,7/3/2010 5:03:00,17,233.00,2.00

1759839.00,-44.61,46.27,7/3/2010 6:04:00,17,293.00,6.00

1759850.00,-44.74,46.31,7/3/2010 7:06:00,17,311.00,5.00

1759859.00,-44.85,46.34,7/3/2010 8:05:00,17,285.00,6.00

1759870.00,-44.96,46.35,7/3/2010 9:05:00,17,296.00,7.00

1759882.00,-45.10,46.31,7/3/2010 10:06:00,17,204.00,9.00

1759892.00,-45.18,46.14,7/3/2010 11:06:00,17,200.00,9.00

1759902.00,-45.26,45.97,7/3/2010 12:07:00,17,206.00,7.00

1759920.00,-45.33,45.81,7/3/2010 13:08:00,17,193.00,10.00

1759931.00,-45.40,45.65,7/3/2010 14:08:00,17,196.00,11.00

1759941.00,-45.46,45.49,7/3/2010 15:08:00,17,188.00,10.00

1759953.00,-45.48,45.42,7/3/2010 16:09:00,17,170.00,3.00

1759961.00,-45.48,45.37,7/3/2010 17:09:00,17,219.00,3.00

1759974.00,-45.48,45.32,7/3/2010 18:12:00,17,182.00,3.00

1759985.00,-45.48,45.27,7/3/2010 19:10:00,17,195.00,2.00

1759998.00,-45.48,45.22,7/3/2010 20:10:00,17,149.00,3.00

1760020.00,-45.48,45.17,7/3/2010 21:11:00,17,146.00,2.00

1760057.00,-45.48,45.07,7/3/2010 23:12:00,17,179.00,2.00

1760070.00,-45.49,45.02,8/3/2010 0:13:00,17,164.00,3.00

1760081.00,-45.52,44.98,8/3/2010 1:13:00,17,210.00,2.00

1760098.00,-45.55,44.93,8/3/2010 2:13:00,17,203.00,3.00

1760137.00,-45.59,44.94,8/3/2010 3:14:00,17,260.00,6.00

1760160.00,-45.50,45.00,8/3/2010 4:15:00,17,8.00,3.00

1760170.00,-45.49,45.05,8/3/2010 5:15:00,17,13.00,3.00

1760218.00,-45.48,45.10,8/3/2010 6:15:00,17,355.00,4.00

1760231.00,-45.48,45.15,8/3/2010 7:16:00,17,1.00,3.00

1760239.00,-45.48,45.20,8/3/2010 8:16:00,17,326.00,3.00

1760252.00,-45.49,45.24,8/3/2010 9:17:00,17,10.00,3.00

1760263.00,-45.50,45.29,8/3/2010 10:17:00,17,339.00,3.00

1760298.00,-45.51,45.34,8/3/2010 11:18:00,17,1.00,3.00

1760310.00,-45.51,45.39,8/3/2010 12:18:00,17,19.00,3.00

1760319.00,-45.51,45.44,8/3/2010 13:19:00,17,5.00,3.00

1760331.00,-45.51,45.49,8/3/2010 14:19:00,17,0.00,3.00

1760342.00,-45.49,45.51,8/3/2010 15:19:00,17,148.00,3.00

1760356.00,-45.48,45.46,8/3/2010 16:20:00,17,210.00,6.00

1760379.00,-45.49,45.40,8/3/2010 17:21:00,17,165.00,3.00

1760477.00,-45.48,45.35,8/3/2010 18:22:00,17,178.00,4.00

1760498.00,-45.47,45.30,8/3/2010 19:22:00,17,167.00,3.00

1760516.00,-45.47,45.25,8/3/2010 20:22:00,17,161.00,3.00

1760529.00,-45.47,45.20,8/3/2010 21:23:00,17,179.00,5.00

1760539.00,-45.47,45.15,8/3/2010 22:23:00,17,173.00,3.00

1760576.00,-45.47,45.10,8/3/2010 23:23:00,17,181.00,3.00

1760592.00,-45.47,45.04,9/3/2010 0:24:00,17,185.00,3.00

1760601.00,-45.48,45.00,9/3/2010 1:25:00,17,217.00,4.00

1760612.00,-45.53,44.96,9/3/2010 2:25:00,17,215.00,4.00

1760659.00,-45.58,44.92,9/3/2010 3:25:00,17,199.00,2.00

1760670.00,-45.55,44.93,9/3/2010 4:26:00,17,288.00,3.00

1760684.00,-45.73,44.88,9/3/2010 5:26:00,17,237.00,9.00

1760721.00,-45.92,44.83,9/3/2010 6:27:00,17,251.00,10.00

1760733.00,-46.12,44.78,9/3/2010 7:27:00,17,256.00,10.00

1760745.00,-46.31,44.73,9/3/2010 8:27:00,17,255.00,9.00

1760757.00,-46.50,44.64,9/3/2010 9:28:00,17,225.00,11.00

1760777.00,-46.67,44.53,9/3/2010 10:29:00,17,227.00,10.00

