Xiphias gladius,135638
Fulmarus glacialis,131885
Thunnus albacares,124076
Pachymetopon blochii,113597
Aptenodytes patagonicus,112605
Gadus morhua,101777
Caretta caretta,101769
Thyrsites atun,97986
Loligo vulgaris reynaudi,96672
Argyrozona argyrozona,96278
