"","VE_COU","VE_REF","SI_LATI","SI_LONG","SI_DATE","SI_TIME","SI_SP","SI_HE","SI_DATIM","HL_ID"
"662903","Atlantis","10",51.5931214836561,2.99407952163834,"06/05/1800","00: 6:00",7,245,"1800-05-06 00:06:00",18
"662904","Atlantis","10",51.5683078272836,2.93339168617967,"06/05/1800"," 2:00:00",7,330,"1800-05-06 02:00:00",19
"662905","Atlantis","10",51.5473403272065,2.87607746142615,"06/05/1800"," 3:56:00",7,55,"1800-05-06 03:56:00",20
"662906","Atlantis","10",51.5662122405847,2.93659450235404,"06/05/1800"," 5:52:00",7,83,"1800-05-06 05:52:00",21
"662907","Atlantis","10",51.6299493680494,3.036660480747,"06/05/1800"," 7:46:00",7,59,"1800-05-06 07:46:00",22
"662908","Atlantis","10",51.6359223276689,3.09941987676174,"06/05/1800"," 9:42:00",6,116,"1800-05-06 09:42:00",23
"662909","Atlantis","10",51.5344633132401,2.87679365528095,"06/05/1800","11:36:00",7,228,"1800-05-06 11:36:00",24
"662910","Atlantis","10",51.511504783609,2.31121867679339,"06/05/1800","13:32:00",14,271,"1800-05-06 13:32:00",25
"662911","Atlantis","10",51.4578128865957,1.82871440000553,"06/05/1800","15:28:00",6,172,"1800-05-06 15:28:00",26
"662912","Atlantis","10",51.5112028607992,1.8587873764392,"06/05/1800","17:22:00",7,25,"1800-05-06 17:22:00",27
"662913","Atlantis","10",51.6795650937799,1.95230285054259,"06/05/1800","19:18:00",7,20,"1800-05-06 19:18:00",28
"662914","Atlantis","10",51.695745846319,1.92481063032057,"06/05/1800","21:12:00",7,102,"1800-05-06 21:12:00",29
"662915","Atlantis","10",51.5305358059094,1.86397848288994,"06/05/1800","23:08:00",7,204,"1800-05-06 23:08:00",30
"662916","Atlantis","10",51.4609367726953,1.83341799937282,"07/05/1800"," 1:04:00",6,12,"1800-05-07 01:04:00",31
"662917","Atlantis","10",51.4061924462626,1.80183325022925,"07/05/1800"," 2:58:00",6,191,"1800-05-07 02:58:00",32
"662918","Atlantis","10",51.4650244918605,1.83690901399869,"07/05/1800"," 4:54:00",7,12,"1800-05-07 04:54:00",33
"662919","Atlantis","10",51.5882227651426,2.02424114330858,"07/05/1800"," 6:48:00",13,123,"1800-05-07 06:48:00",34
"662920","Atlantis","10",51.4148697609562,2.18524577266816,"07/05/1800"," 8:44:00",6,223,"1800-05-07 08:44:00",35
"662921","Atlantis","10",51.4457611120637,2.22457806055807,"07/05/1800","12:34:00",7,218,"1800-05-07 12:34:00",36
"662922","Atlantis","10",51.4589082118147,2.2554634172162,"07/05/1800","14:30:00",9,301,"1800-05-07 14:30:00",37
"662923","Atlantis","10",51.4187489186181,2.19479238274507,"07/05/1800","16:24:00",6,215,"1800-05-07 16:24:00",38
"662924","Atlantis","10",51.5047392145819,2.39375767114479,"07/05/1800","18:20:00",11,138,"1800-05-07 18:20:00",39
"662925","Atlantis","10",51.4934193430715,2.42827651779447,"08/05/1800"," 2:00:00",7,229,"1800-05-08 02:00:00",40
"662926","Atlantis","10",51.4012685797266,2.24624043547455,"08/05/1800"," 3:56:00",6,38,"1800-05-08 03:56:00",41
"662927","Atlantis","10",51.478767084531,2.40182553862966,"08/05/1800"," 5:52:00",5,230,"1800-05-08 05:52:00",42
"662928","Atlantis","10",51.4856400817088,2.40774057370703,"08/05/1800"," 7:46:00",7,43,"1800-05-08 07:46:00",43
"662929","Atlantis","10",51.5109846706307,2.51050425128173,"08/05/1800"," 9:42:00",6,203,"1800-05-08 09:42:00",44
"662930","Atlantis","10",51.3685016771392,2.30006208344549,"08/05/1800","11:36:00",6,191,"1800-05-08 11:36:00",45
"662931","Atlantis","10",51.4594513731385,2.34565509427059,"08/05/1800","13:32:00",7,236,"1800-05-08 13:32:00",46
"662932","Atlantis","10",51.4663128634985,2.3640575841507,"08/05/1800","17:22:00",7,56,"1800-05-08 17:22:00",47
"662933","Atlantis","10",51.3029056911548,2.4005533228144,"08/05/1800","19:18:00",7,37,"1800-05-08 19:18:00",48
"662934","Atlantis","10",51.3948131802687,2.64025816989597,"08/05/1800","21:12:00",7,74,"1800-05-08 21:12:00",49
"662935","Atlantis","10",51.4710751335397,2.92117160728946,"08/05/1800","23:08:00",11,136,"1800-05-08 23:08:00",50
"662936","Atlantis","10",51.4205238452363,3.47438484901283,"09/05/1800"," 1:04:00",11,82,"1800-05-09 01:04:00",51
"662937","Atlantis","10",51.4485953284753,3.59852260938287,"09/05/1800"," 2:58:00",0,15,"1800-05-09 02:58:00",52
"662938","Atlantis","10",51.4467330461042,3.58989608570375,"09/05/1800"," 4:54:00",0,15,"1800-05-09 04:54:00",53
"662939","Atlantis","10",51.4472292818362,3.5884271329958,"09/05/1800"," 6:48:00",0,15,"1800-05-09 06:48:00",54
"662940","Atlantis","10",51.4471316511449,3.58982776055485,"09/05/1800"," 8:44:00",0,15,"1800-05-09 08:44:00",55
"662941","Atlantis","10",51.4484958911571,3.58411605070718,"09/05/1800","12:34:00",0,15,"1800-05-09 12:34:00",56
"667604","Atlantis","10",51.4437598910858,3.583766422024,"11/05/1800","14:30:00",0,15,"1800-05-11 14:30:00",57
"667605","Atlantis","10",51.4416034219647,3.5851950481059,"11/05/1800","16:24:00",0,15,"1800-05-11 16:24:00",58
"667606","Atlantis","10",51.4472780093341,3.59583351112343,"11/05/1800","18:20:00",0,15,"1800-05-11 18:20:00",59
"667607","Atlantis","10",51.4445924110152,3.59097028739192,"11/05/1800","20:16:00",0,15,"1800-05-11 20:16:00",60
"667608","Atlantis","10",51.4429707641923,3.59499000045843,"11/05/1800","22:10:00",0,15,"1800-05-11 22:10:00",61
"667609","Atlantis","10",51.4448838578933,3.59818694050796,"12/05/1800","00: 6:00",0,15,"1800-05-12 00:06:00",62
"667610","Atlantis","10",51.4455564921806,3.55852451810613,"12/05/1800"," 2:00:00",14,311,"1800-05-12 02:00:00",63
"667611","Atlantis","10",51.6548137522223,3.14251614461281,"12/05/1800"," 5:52:00",7,218,"1800-05-12 05:52:00",64
"667612","Atlantis","10",51.5775022460828,2.90554459167179,"12/05/1800"," 9:42:00",7,60,"1800-05-12 09:42:00",65
"667613","Atlantis","10",51.6453192323837,2.95586224767007,"12/05/1800","11:36:00",7,336,"1800-05-12 11:36:00",66
"667614","Atlantis","10",51.911236426278,2.95896811183542,"12/05/1800","13:32:00",13,349,"1800-05-12 13:32:00",67
"667615","Atlantis","10",51.9453403444826,2.94993140023574,"12/05/1800","13:42:00",13,342,"1800-05-12 13:42:00",68
"667616","Atlantis","10",52.0593325713198,2.73492714592721,"12/05/1800","15:28:00",7,309,"1800-05-12 15:28:00",69
"667617","Atlantis","10",52.0947284897235,2.43497160246968,"12/05/1800","17:22:00",6,262,"1800-05-12 17:22:00",70
"667618","Atlantis","10",51.9565004344275,2.27307889834326,"12/05/1800","19:18:00",14,216,"1800-05-12 19:18:00",71
"667619","Atlantis","10",51.6590415419177,1.9370064862268,"12/05/1800","21:12:00",6,196,"1800-05-12 21:12:00",72
"667620","Atlantis","10",51.4842405747063,1.84669348298386,"12/05/1800","23:08:00",5,197,"1800-05-12 23:08:00",73
"667621","Atlantis","10",51.5091452060263,1.85640532855037,"13/05/1800"," 1:04:00",7,26,"1800-05-13 01:04:00",74
"667622","Atlantis","10",51.4929940155745,1.83951853084937,"13/05/1800"," 2:58:00",6,204,"1800-05-13 02:58:00",75
"667623","Atlantis","10",51.4471113794856,1.81924429896846,"13/05/1800"," 4:54:00",6,190,"1800-05-13 04:54:00",76
"667624","Atlantis","10",51.4249639321375,1.80902313761879,"13/05/1800"," 6:48:00",5,18,"1800-05-13 06:48:00",77
"667625","Atlantis","10",51.4693282687338,1.84038470214791,"13/05/1800"," 8:44:00",5,10,"1800-05-13 08:44:00",78
"667626","Atlantis","10",51.4418218042934,1.81663903429546,"13/05/1800","10:40:00",7,11,"1800-05-13 10:40:00",79
"667627","Atlantis","10",51.4088726234972,2.16847054663394,"13/05/1800","12:34:00",8,50,"1800-05-13 12:34:00",80
"667628","Atlantis","10",51.5362964495379,2.39018587551173,"13/05/1800","14:30:00",5,304,"1800-05-13 14:30:00",81
"667629","Atlantis","10",51.5190567561476,2.35887411012128,"13/05/1800","16:24:00",1,341,"1800-05-13 16:24:00",82
"667630","Atlantis","10",51.4108731082259,2.18432660974283,"13/05/1800","18:20:00",5,52,"1800-05-13 18:20:00",83
"667631","Atlantis","10",51.2596449704305,2.06133533269446,"13/05/1800","20:16:00",7,218,"1800-05-13 20:16:00",84
"667632","Atlantis","10",51.2466653574975,2.03709894624539,"13/05/1800","22:10:00",6,234,"1800-05-13 22:10:00",85
"667633","Atlantis","10",51.3371365424073,2.19485791365616,"14/05/1800"," 2:00:00",7,100,"1800-05-14 02:00:00",86
"667634","Atlantis","10",51.3545975816706,2.50843999481108,"14/05/1800"," 3:56:00",1,77,"1800-05-14 03:56:00",87
"667635","Atlantis","10",51.4250464622211,2.76797837713175,"14/05/1800"," 5:52:00",6,69,"1800-05-14 05:52:00",88
"667636","Atlantis","10",51.4208011545157,2.72131891132705,"14/05/1800"," 7:46:00",5,78,"1800-05-14 07:46:00",89
"667637","Atlantis","10",51.4992059450257,2.95690686668456,"14/05/1800"," 9:42:00",8,47,"1800-05-14 09:42:00",90
"667638","Atlantis","10",51.5439986988604,3.03306273283996,"14/05/1800","11:36:00",7,62,"1800-05-14 11:36:00",91
"667639","Atlantis","10",51.5604905423173,3.07679762857966,"14/05/1800","13:32:00",6,262,"1800-05-14 13:32:00",92
"667640","Atlantis","10",51.5730975413276,3.0872489113044,"14/05/1800","15:28:00",7,332,"1800-05-14 15:28:00",93
"667641","Atlantis","10",51.5740948810196,3.08704559132829,"14/05/1800","17:22:00",6,330,"1800-05-14 17:22:00",94
"667642","Atlantis","10",51.5730116140666,3.06881503879931,"14/05/1800","19:18:00",6,72,"1800-05-14 19:18:00",95
"667643","Atlantis","10",51.5742488432918,3.07494611991662,"14/05/1800","21:12:00",5,54,"1800-05-14 21:12:00",96
"667644","Atlantis","10",51.562859330554,3.00578095217701,"14/05/1800","23:08:00",7,242,"1800-05-14 23:08:00",97
"667645","Atlantis","10",51.5095643621851,2.87637615688983,"15/05/1800"," 1:04:00",7,67,"1800-05-15 01:04:00",98
"667646","Atlantis","10",51.566353250348,3.03543414315209,"15/05/1800"," 2:58:00",5,241,"1800-05-15 02:58:00",99
"667647","Atlantis","10",51.5579811066706,3.01812346521858,"15/05/1800"," 4:54:00",7,73,"1800-05-15 04:54:00",100
"22","Atlantis","10",51.4469073573065,3.58374416397983,"NA                 ","NA                 ",0,179.412723830397,NA,1
"31","Atlantis","10",51.4461746259528,3.58375621483161,"NA                 ","NA                 ",0,179.412713942172,NA,1
"39","Atlantis","10",51.4454057176007,3.58376886066769,"NA                 ","NA                 ",0,179.412703228689,NA,1
"47","Atlantis","10",51.4445726366737,3.58378256191675,"NA                 ","NA                 ",0,179.412693628994,NA,1
"54","Atlantis","10",51.4438261436741,3.58379483909916,"NA                 ","NA                 ",0,179.412682915796,NA,1
"62","Atlantis","10",51.4429930627471,3.58380854034822,"NA                 ","NA                 ",0,179.412673028031,NA,1
"70","Atlantis","10",51.442224154395,3.5838211861843,"NA                 ","NA                 ",0,179.412663605549,NA,1
"79","Atlantis","10",51.4414914230413,3.58383323703608,"NA                 ","NA                 ",0,179.412653098354,NA,1
"221","Atlantis","10",51.4406823074225,3.58520065074255,"NA                 ","NA                 ",0,89.4582628146559,NA,2
"311","Atlantis","10",51.4406894573029,3.58641484003331,"NA                 ","NA                 ",0,89.4582392882277,NA,2
"391","Atlantis","10",51.4406969601929,3.58768897724889,"NA                 ","NA                 ",0,89.4581976198418,NA,2
"471","Atlantis","10",51.440705089269,3.58906945310115,"NA                 ","NA                 ",0,89.4582536271917,NA,2
"541","Atlantis","10",51.4407123734334,3.59030644644284,"NA                 ","NA                 ",0,89.4581974372188,NA,2
"621","Atlantis","10",51.4407205025095,3.5916869222951,"NA                 ","NA                 ",0,89.4582389209097,NA,2
"701","Atlantis","10",51.4407280053995,3.59296105951069,"NA                 ","NA                 ",0,89.4582622721609,NA,2
"791","Atlantis","10",51.4407351552799,3.59417524880144,"NA                 ","NA                 ",0,89.4582075291148,NA,2
"222","Atlantis","10",51.4410225768308,3.59452476603932,"NA                 ","NA                 ",0,294.053192039537,NA,3
"312","Atlantis","10",51.4412731747279,3.59362400937364,"NA                 ","NA                 ",0,294.053329330289,NA,3
"392","Atlantis","10",51.4415361453447,3.59267877982941,"NA                 ","NA                 ",0,294.05348808694,NA,3
"472","Atlantis","10",51.4418210633126,3.59165466206194,"NA                 ","NA                 ",0,294.053572594947,NA,3
"542","Atlantis","10",51.4420763677634,3.59073698801688,"NA                 ","NA                 ",0,294.053740341198,NA,3
"622","Atlantis","10",51.4423612857314,3.58971287024941,"NA                 ","NA                 ",0,294.053837416066,NA,3
"702","Atlantis","10",51.4426242563482,3.58876764070518,"NA                 ","NA                 ",0,294.053939935855,NA,3
"792","Atlantis","10",51.4428748542453,3.5878668840395,"NA                 ","NA                 ",0,294.054104239218,NA,3
"223","Atlantis","10",51.4431960469833,3.5868722892369,"NA                 ","NA                 ",0,8.37787212418925,NA,4
"313","Atlantis","10",51.4432334814696,3.58688113435691,"NA                 ","NA                 ",0,8.37786501948943,NA,4
"393","Atlantis","10",51.4432727642013,3.58689041618526,"NA                 ","NA                 ",0,8.3778573135678,NA,4
"473","Atlantis","10",51.4433153254435,3.58690047266878,"NA                 ","NA                 ",0,8.37785042757957,NA,4
"543","Atlantis","10",51.443353462998,3.58690948391162,"NA                 ","NA                 ",0,8.37784271867145,NA,4
"623","Atlantis","10",51.4433960242402,3.58691954039514,"NA                 ","NA                 ",0,8.3778356228857,NA,4
"703","Atlantis","10",51.4434353069719,3.58692882222349,"NA                 ","NA                 ",0,8.37782885488718,NA,4
