currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,J,PT17	1849.35 	1811.42 	1885.95 	1862.01 	1791.77 	1761.54 	1705.94 	1633.91 	1570.46 	1500.09 	1427.39 	1413.94 	1281.98 	1229.22 
MIO_EUR,J,PT18	33.48 	29.78 	29.86 	30.60 	31.39 	27.39 	23.93 	24.06 	23.48 	23.00 	22.67 	20.62 	18.20 	15.69 
MIO_EUR,J,PT2	26.63 	22.49 	25.01 	25.01 	27.61 	25.62 	22.86 	24.18 	22.46 	21.60 	21.22 	18.46 	18.10 	17.33 
MIO_EUR,J,PT20	26.63 	22.49 	25.01 	25.01 	27.61 	25.62 	22.86 	24.18 	22.46 	21.60 	21.22 	18.46 	18.10 	17.33 
MIO_EUR,J,PT3	27.45 	24.05 	30.06 	30.84 	28.91 	25.31 	24.92 	25.44 	24.93 	23.11 	22.01 	18.24 	17.14 	17.04 
MIO_EUR,J,PT30	27.45 	24.05 	30.06 	30.84 	28.91 	25.31 	24.92 	25.44 	24.93 	23.11 	22.01 	18.24 	17.14 	17.04 
MIO_EUR,J,RO	2131.48 	1841.66 	1811.28 	1544.66 	1444.94 	1772.74 	1348.30 	1364.68 	1156.09 	836.88 	779.47 	761.37 	750.08 	592.21 
MIO_EUR,J,RO1	349.22 	279.24 	234.88 	182.52 	153.90 	160.76 	171.35 	158.66 	164.93 	149.89 	141.97 	140.29 	141.98 	105.91 
MIO_EUR,J,RO11	224.87 	170.14 	130.24 	97.46 	83.02 	88.01 	91.00 	85.57 	94.15 	79.83 	72.41 	72.95 	71.60 	52.25 
MIO_EUR,J,RO12	124.35 	109.10 	104.64 	85.06 	70.87 	72.75 	80.35 	73.09 	70.78 	70.06 	69.56 	67.35 	70.37 	53.66 
MIO_EUR,J,RO2	165.74 	123.41 	115.87 	106.64 	104.86 	161.30 	167.18 	165.07 	175.45 	138.06 	127.91 	124.24 	123.75 	102.60 
MIO_EUR,J,RO21	103.17 	78.58 	69.26 	62.72 	58.85 	87.30 	89.41 	86.45 	90.03 	74.38 	68.20 	66.52 	65.87 	56.67 
MIO_EUR,J,RO22	62.57 	44.83 	46.61 	43.92 	46.02 	74.00 	77.77 	78.62 	85.42 	63.69 	59.71 	57.72 	57.88 	45.93 
MIO_EUR,J,RO3	1415.52 	1274.93 	1287.68 	1096.24 	1016.63 	1240.73 	866.37 	906.91 	701.21 	442.26 	406.14 	398.11 	383.33 	304.74 
MIO_EUR,J,RO31	55.13 	42.76 	39.51 	33.00 	32.12 	51.70 	60.77 	56.89 	57.11 	53.20 	67.93 	62.36 	58.03 	53.36 
MIO_EUR,J,RO32	1360.40 	1232.17 	1248.17 	1063.24 	984.50 	1189.02 	805.59 	850.02 	644.09 	389.06 	338.21 	335.75 	325.30 	251.38 
MIO_EUR,J,RO4	201.00 	164.08 	172.84 	159.25 	169.56 	209.96 	143.41 	134.04 	114.50 	106.67 	103.46 	98.72 	101.02 	78.96 
MIO_EUR,J,RO41	45.39 	36.24 	37.37 	35.61 	34.13 	43.56 	49.77 	47.65 	42.81 	40.68 	41.94 	41.19 	42.99 	36.19 
MIO_EUR,J,RO42	155.60 	127.85 	135.48 	123.64 	135.43 	166.40 	93.63 	86.39 	71.69 	65.98 	61.52 	57.53 	58.03 	42.77 
MIO_EUR,J,SE	11418.02 	11034.23 	10167.56 	9014.19 	7967.53 	8692.17 	8511.80 	7918.72 	7533.34 	7525.18 	7138.49 	7301.31 	7616.02 	7202.67 
MIO_EUR,J,SE1	7150.67 	6902.84 	6183.19 	5506.59 	4822.25 	5197.60 	5084.92 	4759.57 	4561.85 	4636.74 	4364.33 	4650.42 	5025.66 	4655.31 
MIO_EUR,J,SE11	6182.16 	5968.91 	5187.05 	4682.14 	4086.79 	4392.21 	4325.79 	4068.55 	3906.72 	3997.57 	3725.70 	4061.74 	4429.88 	4054.49 
MIO_EUR,J,SE12	968.50 	933.93 	996.15 	824.45 	735.47 	805.39 	759.13 	691.02 	655.12 	639.17 	638.63 	588.68 	595.78 	600.81 
MIO_EUR,J,SE2	3260.13 	3156.44 	3024.98 	2684.93 	2409.43 	2667.34 	2623.65 	2460.88 	2320.14 	2203.02 	2104.51 	1992.45 	1966.59 	1898.59 
MIO_EUR,J,SE21	430.68 	421.99 	438.55 	350.83 	331.67 	342.89 	328.97 	327.84 	256.40 	281.67 	273.67 	261.43 	252.19 	252.10 
MIO_EUR,J,SE22	1194.71 	1167.61 	1119.74 	1025.87 	937.74 	1053.33 	978.04 	953.49 	1031.22 	783.07 	748.56 	727.64 	713.34 	723.61 
MIO_EUR,J,SE23	1634.75 	1566.85 	1466.70 	1308.23 	1140.02 	1271.11 	1316.63 	1179.55 	1032.51 	1138.28 	1082.29 	1003.37 	1001.07 	922.89 
MIO_EUR,J,SE3	1007.22 	974.94 	959.38 	822.66 	735.84 	827.23 	803.23 	698.26 	651.35 	685.42 	669.65 	658.44 	623.76 	648.77 
MIO_EUR,J,SE31	389.53 	374.19 	403.44 	335.00 	294.75 	329.17 	318.48 	285.59 	245.95 	280.68 	279.37 	253.90 	243.97 	242.03 
MIO_EUR,J,SE32	288.27 	280.67 	255.27 	220.08 	201.99 	229.64 	221.94 	191.69 	193.81 	190.92 	182.70 	201.18 	183.14 	193.72 
MIO_EUR,J,SE33	329.42 	320.08 	300.67 	267.58 	239.10 	268.43 	262.81 	220.98 	211.59 	213.82 	207.58 	203.36 	196.65 	213.02 
MIO_EUR,J,SI	735.59 	740.53 	731.12 	747.07 	738.49 	714.94 	624.76 	568.48 	516.00 	456.83 	432.53 	407.50 	460.55 	413.65 
MIO_EUR,J,SI0	735.59 	740.53 	731.12 	747.07 	738.49 	714.94 	624.76 	568.48 	516.00 	456.83 	432.53 	407.50 	460.55 	413.65 
MIO_EUR,J,SI03	124.37 	129.33 	130.37 	132.57 	130.67 	123.53 	103.13 	94.93 	87.60 	81.24 	80.67 	78.34 	91.34 	83.73 
MIO_EUR,J,SI04	611.22 	611.21 	600.74 	614.50 	607.83 	591.41 	521.64 	473.55 	428.40 	375.59 	351.86 	329.16 	369.22 	329.92 
MIO_EUR,J,SK	1172.74 	1119.77 	1094.08 	944.87 	904.08 	878.96 	675.84 	599.03 	508.25 	404.38 	349.92 	317.89 	339.05 	289.27 
MIO_EUR,J,SK0	1172.74 	1119.77 	1094.08 	944.87 	904.08 	878.96 	675.84 	599.03 	508.25 	404.38 	349.92 	317.89 	339.05 	289.27 
MIO_EUR,J,SK01	533.91 	509.49 	529.98 	424.06 	412.68 	389.90 	294.13 	245.47 	220.11 	156.90 	124.86 	118.98 	127.16 	103.68 
MIO_EUR,J,SK02	242.36 	232.29 	216.25 	190.69 	211.66 	201.86 	149.38 	134.13 	111.51 	96.69 	85.43 	76.57 	80.25 	69.13 
MIO_EUR,J,SK03	174.57 	171.16 	157.83 	163.76 	121.77 	135.38 	107.43 	99.78 	82.71 	69.44 	62.85 	56.06 	61.55 	53.96 
MIO_EUR,J,SK04	221.90 	206.83 	190.02 	166.36 	157.97 	151.82 	124.91 	119.66 	93.91 	81.36 	76.78 	66.28 	70.09 	62.51 
MIO_EUR,J,UK	: 	70346.66 	62414.16 	59856.15 	56118.26 	66452.76 	75124.94 	70070.26 	69770.40 	68644.09 	63071.72 	66671.44 	65077.91 	58983.07 
MIO_EUR,J,UKC	0.00 	1213.51 	1383.83 	1263.64 	1153.84 	1318.63 	1506.56 	1422.85 	1529.69 	1327.62 	1144.53 	1305.60 	1349.16 	1063.20 
MIO_EUR,J,UKC1	0.00 	329.28 	389.45 	361.37 	316.52 	394.33 	433.99 	425.39 	453.35 	444.99 	368.50 	394.38 	390.76 	341.27 
MIO_EUR,J,UKC2	0.00 	884.24 	994.38 	902.27 	837.32 	924.30 	1072.57 	997.46 	1076.34 	882.62 	776.02 	911.22 	958.40 	721.93 
MIO_EUR,J,UKD	0.00 	4673.99 	4236.76 	3870.19 	3839.76 	4803.59 	5310.23 	4839.16 	4570.05 	4774.11 	4281.85 	4664.22 	4145.56 	3616.20 
MIO_EUR,J,UKD1	0.00 	136.89 	142.88 	149.21 	113.36 	126.84 	192.89 	180.42 	168.18 	191.55 	140.18 	143.12 	114.17 	101.73 
MIO_EUR,J,UKD3	0.00 	2239.57 	1882.75 	1699.62 	1873.30 	2127.39 	2402.31 	2157.75 	2056.16 	2264.76 	2027.49 	2064.15 	1850.87 	1671.92 
MIO_EUR,J,UKD4	0.00 	780.64 	707.47 	666.79 	597.12 	747.22 	827.07 	844.91 	677.10 	758.85 	690.76 	815.80 	697.90 	605.43 
MIO_EUR,J,UKD6	0.00 	763.38 	803.11 	774.04 	684.67 	1003.42 	1017.04 	902.12 	873.06 	817.79 	777.47 	904.86 	808.85 	628.40 
MIO_EUR,J,UKD7	0.00 	753.51 	700.56 	580.53 	571.31 	798.71 	870.91 	753.96 	795.55 	741.17 	645.96 	736.29 	673.77 	608.72 
MIO_EUR,J,UKE	0.00 	3175.60 	2555.65 	2316.28 	2370.53 	2679.96 	2881.61 	2669.68 	2560.69 	2734.80 	2339.63 	2439.45 	2264.14 	2180.55 
MIO_EUR,J,UKE1	0.00 	267.61 	210.86 	195.84 	216.63 	258.70 	282.02 	268.43 	270.55 	250.49 	241.33 	229.00 	205.83 	234.63 
MIO_EUR,J,UKE2	0.00 	522.90 	395.22 	395.18 	399.58 	477.22 	514.36 	479.66 	408.01 	477.41 	423.42 	394.38 	400.41 	408.54 
MIO_EUR,J,UKE3	0.00 	821.34 	653.32 	528.07 	490.49 	575.17 	657.57 	611.68 	508.92 	571.71 	445.09 	446.86 	424.53 	426.59 
MIO_EUR,J,UKE4	0.00 	1563.75 	1296.26 	1197.19 	1263.83 	1368.87 	1427.65 	1309.90 	1373.21 	1435.18 	1229.79 	1369.21 	1233.38 	1110.78 
MIO_EUR,J,UKF	0.00 	2191.47 	2130.48 	1963.07 	1936.16 	2136.18 	2503.14 	2446.72 	2224.33 	2149.82 	1848.29 	2043.48 	1926.45 	1627.62 
MIO_EUR,J,UKF1	0.00 	1336.84 	1237.50 	1197.19 	1152.72 	1228.21 	1367.74 	1375.91 	1295.70 	1223.00 	1013.02 	1238.81 	1157.80 	956.55 
MIO_EUR,J,UKF2	0.00 	694.32 	732.82 	630.65 	655.49 	728.39 	924.98 	869.85 	754.61 	770.64 	683.54 	655.19 	633.57 	570.98 
MIO_EUR,J,UKF3	0.00 	160.32 	160.16 	135.22 	127.95 	179.59 	210.42 	200.96 	174.03 	156.19 	151.74 	149.48 	135.08 	100.09 
MIO_EUR,J,UKG	0.00 	3623.27 	3404.85 	3669.68 	3369.47 	3456.07 	3881.11 	3709.68 	3677.98 	3411.13 	3130.10 	3131.21 	3196.81 	2874.58 
MIO_EUR,J,UKG1	0.00 	1085.25 	974.79 	1099.27 	1034.86 	967.00 	1071.11 	1072.27 	1143.61 	900.30 	812.15 	825.34 	786.34 	646.45 
MIO_EUR,J,UKG2	0.00 	817.64 	859.57 	826.49 	714.98 	784.90 	908.90 	899.18 	780.93 	760.32 	689.32 	639.28 	628.75 	662.86 
MIO_EUR,J,UKG3	0.00 	1720.37 	1570.49 	1743.91 	1619.64 	1704.17 	1901.10 	1738.22 	1753.44 	1750.51 	1628.64 	1666.59 	1781.72 	1565.27 
MIO_EUR,J,UKH	0.00 	5098.23 	3843.85 	3696.49 	3589.47 	4863.87 	5716.46 	5519.78 	5004.39 	4906.73 	4721.17 	4912.30 	4763.05 	4320.08 
MIO_EUR,J,UKH1	0.00 	2087.88 	1563.58 	1501.45 	1425.46 	1877.48 	2279.57 	2179.75 	2025.45 	1939.12 	1858.41 	1784.27 	1760.82 	1550.50 
MIO_EUR,J,UKH2	0.00 	2063.22 	1548.60 	1562.06 	1530.97 	2064.60 	2422.77 	2344.04 	2086.87 	2076.15 	2056.39 	2285.20 	2180.52 	2049.29 
MIO_EUR,J,UKH3	0.00 	947.13 	731.67 	632.99 	633.04 	921.79 	1014.12 	996.00 	892.07 	891.46 	806.37 	842.84 	821.72 	720.29 
MIO_EUR,J,UKI	0.00 	25036.07 	23362.68 	21717.34 	19459.22 	24049.33 	27398.66 	24913.09 	26104.12 	26048.39 	24137.63 	25335.94 	25453.87 	23708.74 
MIO_EUR,J,UKJ	0.00 	16444.07 	13739.23 	13473.37 	12826.90 	15058.77 	16072.42 	15837.65 	15269.08 	14518.32 	13796.44 	14980.20 	14170.16 	13037.34 
MIO_EUR,J,UKJ1	0.00 	8302.19 	6893.81 	6594.47 	6197.95 	7332.85 	7760.76 	7945.96 	7714.24 	7463.24 	6885.94 	7323.12 	6768.30 	6485.86 
MIO_EUR,J,UKJ2	0.00 	3756.46 	3404.85 	3117.13 	2931.74 	3635.66 	3954.17 	3871.03 	3846.15 	3664.57 	3845.43 	4339.81 	4562.05 	3932.86 
MIO_EUR,J,UKJ3	0.00 	3351.96 	2678.94 	3011.05 	2964.28 	3245.09 	3406.20 	3147.87 	2791.75 	2616.92 	2407.55 	2633.46 	2140.32 	1978.74 
MIO_EUR,J,UKJ4	0.00 	1033.46 	761.63 	750.72 	732.93 	845.18 	951.28 	872.78 	916.93 	773.58 	657.52 	683.81 	699.50 	639.89 
MIO_EUR,J,UKK	0.00 	3548.04 	3354.15 	3330.46 	3119.18 	3410.86 	3983.40 	3499.92 	3482.01 	3642.47 	3127.21 	3266.38 	3227.36 	2541.51 
MIO_EUR,J,UKK1	0.00 	2439.36 	2275.66 	2299.96 	2119.11 	2312.00 	2580.59 	2307.37 	2363.26 	2506.41 	2131.53 	2202.50 	2238.41 	1727.70 
MIO_EUR,J,UKK2	0.00 	522.90 	512.74 	490.77 	464.68 	538.76 	678.03 	570.61 	551.33 	537.82 	489.89 	457.99 	464.73 	408.54 
MIO_EUR,J,UKK3	0.00 	129.49 	110.61 	114.24 	113.36 	102.98 	119.82 	96.81 	78.97 	79.57 	70.81 	82.69 	69.15 	57.43 
MIO_EUR,J,UKK4	0.00 	456.30 	455.13 	425.49 	422.03 	457.13 	604.96 	525.13 	488.45 	518.67 	434.98 	523.19 	455.08 	347.84 
MIO_EUR,J,UKL	0.00 	1159.25 	979.40 	1067.80 	1058.43 	1059.93 	1155.86 	1114.81 	1188.94 	1127.22 	904.64 	993.91 	958.40 	836.78 
MIO_EUR,J,UKL1	0.00 	476.03 	397.52 	424.32 	443.35 	409.40 	451.53 	406.32 	429.95 	372.79 	317.92 	351.45 	324.83 	288.77 
MIO_EUR,J,UKL2	0.00 	683.22 	581.88 	643.48 	615.08 	650.52 	704.33 	708.49 	758.99 	754.43 	586.71 	642.46 	633.57 	548.01 
MIO_EUR,J,UKM	: 	3263.00 	2665.00 	2884.00 	2727.00 	2878.00 	3788.00 	3307.76 	3356.24 	3197.48 	2904.67 	2864.05 	2870.37 	2526.74 
MIO_EUR,J,UKM2	: 	1579.78 	1326.22 	1461.81 	1303.12 	1395.24 	1845.57 	1660.48 	1645.22 	1563.37 	1349.73 	1467.81 	1413.48 	1299.47 
MIO_EUR,J,UKM3	: 	1314.64 	1047.38 	1050.31 	1096.59 	1151.60 	1565.01 	1301.10 	1357.12 	1262.78 	1221.12 	1090.91 	1125.64 	938.50 
MIO_EUR,J,UKM5	: 	263.91 	208.55 	265.78 	239.07 	226.05 	263.03 	233.23 	225.21 	244.60 	210.99 	208.32 	212.26 	193.61 
MIO_EUR,J,UKM6	: 	104.83 	82.96 	106.08 	88.67 	105.49 	113.98 	112.95 	128.69 	126.72 	122.83 	97.01 	119.00 	95.16 
MIO_EUR,J,UKN	0.00 	920.00 	758.17 	603.84 	667.83 	737.18 	927.90 	789.17 	802.87 	806.00 	735.56 	734.70 	752.57 	649.73 
MIO_EUR,J,UKN0	0.00 	920.00 	758.17 	603.84 	667.83 	737.18 	927.90 	789.17 	802.87 	806.00 	735.56 	734.70 	752.57 	649.73 
MIO_EUR,J,UKZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,J,UKZZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,K,AT	8311.00 	8091.00 	8140.00 	7911.00 	7780.00 	7702.00 	7364.00 	7075.00 	6599.00 	6299.00 	6117.00 	5930.00 	5938.00 	5644.00 
MIO_EUR,K,AT1	4595.00 	4460.00 	4508.00 	4362.00 	4254.00 	4193.00 	3976.00 	3783.00 	3552.00 	3423.00 	3342.00 	3243.00 	3253.00 	3080.00 
MIO_EUR,K,AT11	177.00 	175.00 	172.00 	166.00 	162.00 	158.00 	162.00 	159.00 	147.00 	140.00 	136.00 	132.00 	136.00 	129.00 
MIO_EUR,K,AT12	961.00 	938.00 	947.00 	905.00 	892.00 	873.00 	857.00 	835.00 	768.00 	741.00 	714.00 	687.00 	671.00 	644.00 
MIO_EUR,K,AT13	3457.00 	3347.00 	3389.00 	3292.00 	3201.00 	3162.00 	2956.00 	2789.00 	2636.00 	2543.00 	2493.00 	2424.00 	2447.00 	2306.00 
MIO_EUR,K,AT2	1292.00 	1262.00 	1263.00 	1248.00 	1247.00 	1240.00 	1198.00 	1170.00 	1082.00 	1015.00 	966.00 	937.00 	942.00 	904.00 
MIO_EUR,K,AT21	483.00 	459.00 	471.00 	466.00 	464.00 	449.00 	436.00 	428.00 	386.00 	370.00 	351.00 	341.00 	348.00 	328.00 
MIO_EUR,K,AT22	808.00 	803.00 	792.00 	781.00 	783.00 	790.00 	762.00 	742.00 	696.00 	645.00 	615.00 	596.00 	595.00 	576.00 
MIO_EUR,K,AT3	2425.00 	2369.00 	2370.00 	2302.00 	2279.00 	2269.00 	2190.00 	2121.00 	1965.00 	1861.00 	1808.00 	1750.00 	1742.00 	1660.00 
MIO_EUR,K,AT31	1014.00 	986.00 	976.00 	941.00 	910.00 	914.00 	890.00 	856.00 	803.00 	754.00 	731.00 	709.00 	701.00 	678.00 
MIO_EUR,K,AT32	518.00 	520.00 	515.00 	496.00 	494.00 	503.00 	491.00 	477.00 	437.00 	414.00 	402.00 	392.00 	391.00 	366.00 
MIO_EUR,K,AT33	571.00 	552.00 	564.00 	550.00 	563.00 	551.00 	534.00 	519.00 	478.00 	455.00 	441.00 	424.00 	421.00 	400.00 
MIO_EUR,K,AT34	322.00 	310.00 	316.00 	315.00 	312.00 	301.00 	275.00 	270.00 	248.00 	238.00 	235.00 	224.00 	229.00 	216.00 
MIO_EUR,K,ATZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,K,ATZZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,K,BE	9948.20 	9876.80 	9717.50 	9306.20 	9488.70 	9514.50 	9102.90 	8747.90 	8535.40 	8430.40 	8415.40 	: 	: 	: 
MIO_EUR,K,BE1	5399.50 	5403.30 	5368.50 	5155.10 	5297.00 	5257.00 	5051.00 	4811.40 	4814.30 	4827.50 	4809.60 	: 	: 	: 
MIO_EUR,K,BE10	5399.50 	5403.30 	5368.50 	5155.10 	5297.00 	5257.00 	5051.00 	4811.40 	4814.30 	4827.50 	4809.60 	: 	: 	: 
MIO_EUR,K,BE2	3301.00 	3252.80 	3116.70 	2940.50 	2998.70 	3078.60 	2954.30 	2847.10 	2647.70 	2546.90 	2610.70 	: 	: 	: 
MIO_EUR,K,BE21	1327.10 	1307.90 	1275.30 	1228.30 	1243.40 	1227.30 	1175.10 	1151.60 	1091.30 	1067.20 	1079.30 	: 	: 	: 
MIO_EUR,K,BE22	298.40 	291.40 	277.40 	264.70 	267.10 	276.20 	255.70 	260.40 	224.10 	218.60 	224.50 	: 	: 	: 
MIO_EUR,K,BE23	646.40 	662.00 	619.30 	564.60 	586.20 	585.00 	555.40 	531.60 	492.70 	473.10 	482.30 	: 	: 	: 
MIO_EUR,K,BE24	617.40 	578.70 	544.10 	508.70 	522.70 	585.60 	576.20 	522.00 	503.50 	461.40 	483.10 	: 	: 	: 
MIO_EUR,K,BE25	411.70 	412.80 	400.60 	374.20 	379.30 	404.50 	391.90 	381.50 	336.10 	326.60 	341.50 	: 	: 	: 
MIO_EUR,K,BE3	1247.70 	1220.70 	1232.30 	1210.60 	1193.00 	1178.90 	1097.60 	1089.40 	1073.40 	1056.00 	995.10 	: 	: 	: 
MIO_EUR,K,BE31	261.60 	248.90 	259.10 	256.70 	191.70 	186.50 	179.40 	156.10 	152.00 	149.00 	122.90 	: 	: 	: 
MIO_EUR,K,BE32	339.60 	348.00 	336.80 	321.50 	338.20 	353.20 	327.20 	341.70 	361.30 	357.60 	330.40 	: 	: 	: 
MIO_EUR,K,BE33	426.40 	410.30 	415.80 	409.50 	421.00 	423.70 	396.40 	389.10 	369.60 	362.80 	353.00 	: 	: 	: 
MIO_EUR,K,BE34	50.20 	47.40 	45.90 	44.40 	45.50 	47.10 	44.00 	43.30 	39.30 	38.70 	37.80 	: 	: 	: 
MIO_EUR,K,BE35	169.90 	166.10 	174.70 	178.50 	196.60 	168.40 	150.60 	159.20 	151.20 	147.90 	151.00 	: 	: 	: 
MIO_EUR,K,BG	858.03 	1007.98 	823.18 	781.30 	805.37 	765.50 	570.34 	413.49 	350.73 	277.00 	207.15 	192.83 	170.67 	139.79 
MIO_EUR,K,BG3	136.92 	164.39 	130.44 	70.42 	143.57 	136.46 	120.71 	77.94 	74.08 	64.71 	55.58 	50.95 	45.46 	38.45 
MIO_EUR,K,BG31	20.00 	24.08 	21.07 	8.84 	31.51 	29.91 	25.93 	12.33 	12.45 	11.70 	9.76 	9.55 	9.05 	7.34 
MIO_EUR,K,BG32	26.19 	33.87 	27.01 	8.80 	26.92 	25.63 	36.37 	15.84 	16.08 	12.69 	11.68 	10.88 	10.35 	8.50 
MIO_EUR,K,BG33	55.03 	62.91 	44.09 	38.93 	48.41 	46.00 	27.58 	25.92 	22.47 	20.54 	17.11 	16.50 	14.18 	11.78 
MIO_EUR,K,BG34	35.70 	43.53 	38.27 	13.85 	36.73 	34.93 	30.83 	23.85 	23.09 	19.78 	17.03 	14.03 	11.88 	10.83 
MIO_EUR,K,BG4	721.11 	843.58 	692.73 	710.87 	661.79 	629.04 	449.64 	335.56 	276.65 	212.29 	151.57 	141.88 	125.21 	101.34 
MIO_EUR,K,BG41	679.30 	792.72 	650.80 	695.21 	614.25 	583.87 	408.04 	306.63 	247.38 	187.52 	130.88 	121.88 	107.48 	86.35 
MIO_EUR,K,BG42	41.81 	50.86 	41.94 	15.66 	47.54 	45.17 	41.60 	28.93 	29.26 	24.77 	20.69 	19.99 	17.73 	15.00 
MIO_EUR,K,CZ	2282.53 	2429.32 	2287.64 	2105.80 	1973.67 	2172.49 	1833.86 	1641.84 	1417.60 	1271.08 	1215.47 	1215.72 	1065.16 	939.63 
MIO_EUR,K,CZ0	2282.53 	2429.32 	2287.64 	2105.80 	1973.67 	2172.49 	1833.86 	1641.84 	1417.60 	1271.08 	1215.47 	1215.72 	1065.16 	939.63 
MIO_EUR,K,CZ01	1475.13 	1627.18 	1503.82 	1430.23 	1319.54 	1461.24 	1238.28 	1097.63 	944.90 	816.81 	770.05 	760.26 	634.06 	528.61 
MIO_EUR,K,CZ02	60.01 	63.06 	63.77 	55.57 	50.99 	53.28 	50.46 	44.39 	38.92 	41.92 	38.56 	45.29 	36.90 	34.47 
MIO_EUR,K,CZ03	133.14 	126.17 	122.41 	106.59 	99.26 	102.58 	92.78 	87.64 	74.00 	71.96 	72.51 	72.91 	69.80 	67.11 
MIO_EUR,K,CZ04	71.02 	74.08 	72.18 	63.00 	64.69 	73.88 	59.53 	56.24 	51.51 	47.85 	49.39 	48.18 	46.82 	47.59 
MIO_EUR,K,CZ05	168.05 	166.69 	166.61 	144.28 	139.51 	148.28 	123.82 	115.45 	99.76 	90.97 	92.92 	94.83 	87.77 	81.58 
MIO_EUR,K,CZ06	196.61 	192.02 	179.30 	153.26 	147.08 	170.33 	136.82 	117.99 	102.81 	97.90 	89.37 	87.52 	82.34 	80.28 
MIO_EUR,K,CZ07	82.79 	87.28 	85.64 	74.95 	76.22 	80.77 	62.95 	57.12 	47.04 	45.34 	42.67 	46.46 	46.91 	46.52 
MIO_EUR,K,CZ08	95.77 	92.85 	93.90 	77.91 	76.38 	82.14 	69.22 	65.38 	58.66 	58.32 	60.01 	60.28 	60.58 	53.48 
MIO_EUR,K,DK	6754.31 	6685.12 	6825.76 	6708.20 	6786.55 	6282.19 	6126.22 	5517.96 	5061.73 	4816.46 	4747.74 	4529.17 	4271.41 	3901.90 
MIO_EUR,K,DK0	6754.31 	6685.12 	6825.76 	6708.20 	6786.55 	6282.19 	6126.22 	5517.96 	5061.73 	4816.46 	4747.74 	4529.17 	4271.41 	3901.90 
MIO_EUR,K,DK01	4406.87 	4303.91 	4346.90 	4192.53 	4186.16 	3895.92 	3629.10 	3263.66 	3000.35 	2855.68 	2817.77 	2710.72 	2601.15 	2364.30 
MIO_EUR,K,DK02	335.35 	340.02 	375.00 	395.31 	432.30 	410.54 	415.00 	389.05 	353.74 	331.86 	328.23 	307.38 	264.09 	249.94 
MIO_EUR,K,DK03	729.16 	749.09 	768.39 	778.00 	802.96 	732.70 	752.69 	678.10 	619.18 	584.69 	577.60 	552.86 	504.29 	467.95 
MIO_EUR,K,DK04	886.58 	887.19 	916.97 	918.45 	932.15 	847.77 	933.21 	828.38 	754.45 	725.41 	707.20 	664.02 	620.50 	562.13 
MIO_EUR,K,DK05	396.36 	405.04 	418.49 	424.05 	432.84 	395.25 	396.21 	358.49 	334.15 	318.82 	316.93 	294.19 	281.53 	257.59 
MIO_EUR,K,DKZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,K,DKZZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
MIO_EUR,K,EE	244.70 	237.90 	231.60 	214.60 	244.20 	249.90 	239.30 	182.30 	149.60 	132.90 	123.30 	110.70 	91.90 	89.30 
MIO_EUR,K,EE0	244.70 	237.90 	231.60 	214.60 	244.20 	249.90 	239.30 	182.30 	149.60 	132.90 	123.30 	110.70 	91.90 	89.30 
MIO_EUR,K,EE00	244.70 	237.90 	231.60 	214.60 	244.20 	249.90 	239.30 	182.30 	149.60 	132.90 	123.30 	110.70 	91.90 	89.30 
MIO_EUR,K,EL	4111.23 	4209.19 	4853.45 	5058.56 	5832.53 	5664.80 	5435.58 	4847.73 	4393.08 	4075.81 	3866.74 	3570.02 	3124.05 	3079.62 
MIO_EUR,K,EL3	2784.80 	3071.24 	3363.73 	3474.60 	4029.51 	3993.60 	3754.70 	3323.39 	3023.56 	2820.66 	2650.80 	2453.54 	2145.35 	2101.33 
MIO_EUR,K,EL30	2784.80 	3071.24 	3363.73 	3474.60 	4029.51 	3993.60 	3754.70 	3323.39 	3023.56 	2820.66 	2650.80 	2453.54 	2145.35 	2101.33 
MIO_EUR,K,EL4	255.35 	208.54 	261.74 	291.95 	320.92 	288.57 	291.09 	271.66 	252.94 	223.26 	213.61 	200.04 	171.86 	175.47 
MIO_EUR,K,EL41	35.32 	32.88 	41.81 	45.36 	49.75 	47.55 	45.15 	42.12 	38.70 	35.25 	35.27 	30.90 	27.08 	27.28 
MIO_EUR,K,EL42	77.17 	52.15 	68.83 	75.60 	82.15 	83.45 	81.93 	70.36 	63.81 	58.89 	59.43 	55.45 	49.45 	48.38 
