currency,nace_r2,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
MIO_EUR,A,BG42	72.69 	63.95 	57.38 	46.08 	46.71 	38.66 	33.48 	28.56 	26.95 	27.11 	24.67 	23.20 	26.95 	26.10 
MIO_EUR,A,CZ	1437.61 	1440.06 	1404.47 	1316.72 	1354.23 	1544.02 	1323.24 	1252.28 	1140.89 	1083.85 	1014.76 	1064.60 	1019.05 	953.23 
MIO_EUR,A,CZ0	1437.61 	1440.06 	1404.47 	1316.72 	1354.23 	1544.02 	1323.24 	1252.28 	1140.89 	1083.85 	1014.76 	1064.60 	1019.05 	953.23 
MIO_EUR,A,CZ01	32.10 	33.80 	36.27 	32.27 	28.86 	28.02 	30.18 	24.52 	17.49 	9.16 	7.91 	9.54 	12.09 	9.02 
MIO_EUR,A,CZ02	199.04 	200.88 	197.89 	180.94 	178.36 	213.10 	163.44 	161.95 	147.04 	142.27 	128.81 	143.29 	129.89 	118.94 
MIO_EUR,A,CZ03	276.02 	280.93 	272.18 	260.76 	264.46 	295.32 	250.20 	251.22 	225.10 	213.51 	205.58 	215.65 	207.85 	199.64 
MIO_EUR,A,CZ04	90.92 	92.97 	88.74 	86.02 	84.24 	100.42 	71.99 	71.55 	67.42 	62.09 	63.12 	67.17 	61.08 	57.47 
MIO_EUR,A,CZ05	252.27 	254.09 	242.94 	226.07 	229.92 	260.52 	283.40 	210.08 	192.10 	182.47 	165.36 	170.56 	167.58 	155.03 
MIO_EUR,A,CZ06	327.79 	321.25 	311.02 	289.12 	303.65 	353.64 	285.06 	292.22 	267.58 	256.25 	240.72 	256.91 	243.51 	224.02 
MIO_EUR,A,CZ07	175.17 	171.90 	172.31 	160.42 	181.12 	189.73 	159.80 	163.43 	155.40 	147.16 	134.33 	134.17 	131.68 	125.90 
